GPU,TDP,GFLOPS
AMD Bonaire,95,1536
AMD Radeon HD 5870,188,2720
GeForce GTS 450,105,601.3
GeForce GTX 1080,180,8228
GeForce GTX 460,150,907.2
GeForce GTX 470,215,1088.6
GeForce GTX 550 Ti,170,1263.4
GeForce GTX 560,175,1075
GeForce GTX 560 Ti,170,1263.4
GeForce GTX 570,219,1405.4
GeForce GTX 580,244,1581.1
GeForce GTX 650 Ti,110,1420.8
GeForce GTX 660,140,1881.6
GeForce GTX 660 Ti,150,2460
GeForce GTX 670,170,2460
GeForce GTX 680,195,3090.4
GeForce GTX 750,55,1044
GeForce GTX 750 Ti,60,1306
GeForce GTX 760,170,2258
GeForce GTX 770,230,3213
GeForce GTX 780,250,3977
GeForce GTX 780 Ti,250,5046
GeForce GTX 950,90,1572
GeForce GTX 960,120,2308
GeForce GTX 970,145,3494
GeForce GTX 980,165,4612
GeForce GTX 980 Ti,250,5632
GeForce GTX TITAN X,250,6144
Intel Iris Pro Graphics 6200,65,883.2
